,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea
39,MANUFACTURED,0.7,27603,28000,,-78.63684,35.58144,6475012,3.0,1904.0
0,SINGLE_FAMILY,0.34,27526,535000,4.0,-78.74789,35.62196,67556713,3.0,2600.0
1,SINGLE_FAMILY,0.22999999999999998,27539,435000,4.0,-78.81078,35.67658,68319575,3.0,2283.0
2,TOWNHOUSE,0.05,27612,390000,3.0,-78.720795,35.858543,69566969,3.0,1735.0
3,SINGLE_FAMILY,0.38,27519,1350000,5.0,-78.90693,35.80818,71206490,4.0,3892.0
4,TOWNHOUSE,0.03,27616,320000,3.0,-78.52207,35.852657,71845160,3.0,1553.0
5,SINGLE_FAMILY,0.92,27613,1275000,4.0,-78.69982,35.925026,80208142,6.0,4978.0
6,SINGLE_FAMILY,0.20899908172635445,27526,382500,3.0,-78.80536,35.57163,81436653,2.5,1826.0
7,TOWNHOUSE,0.04,27610,295000,3.0,-78.54441,35.7962,81437190,3.0,1280.0
8,TOWNHOUSE,0.06,27519,438000,2.0,-78.910965,35.823902,81761220,3.0,1921.0
9,TOWNHOUSE,0.04,27604,300000,3.0,-78.5884,35.82911,88948341,3.0,1482.0
10,TOWNHOUSE,0.03,27616,300000,3.0,-78.53724,35.894028,102328967,3.0,1559.0
11,SINGLE_FAMILY,0.4,27540,585000,4.0,-78.86987,35.638096,122065625,3.0,2691.0
12,SINGLE_FAMILY,0.2,27502,792500,4.0,-78.91313,35.718555,122281720,3.0,2777.0
13,SINGLE_FAMILY,0.22000000000000003,27519,960000,4.0,-78.88541,35.821575,122283397,4.0,3552.0
14,SINGLE_FAMILY,0.22000000000000003,27545,580000,4.0,-78.46686,35.797592,125090228,3.0,2968.0
15,SINGLE_FAMILY,0.69,27539,870000,4.0,-78.717636,35.675415,125247256,4.0,4267.0
16,SINGLE_FAMILY,,27604,145000,,-78.59084,35.847546,132267961,1.0,756.0
17,SINGLE_FAMILY,0.7,27597,507000,,-78.332825,35.795124,133226322,3.5,3502.0
18,SINGLE_FAMILY,0.03999081726354454,27571,300000,,-78.46822,35.919926,133704289,2.0,1661.0
19,SINGLE_FAMILY,0.13999999999999999,27616,520500,4.0,-78.511536,35.837463,133704370,3.0,2615.0
20,TOWNHOUSE,0.1,27519,485000,4.0,,,2063167037,4.0,1856.0
21,TOWNHOUSE,0.1,27519,497070,4.0,,,2063168027,4.0,1970.0
22,TOWNHOUSE,0.06899999999999999,27529,374843,3.0,,,2064080001,3.0,1916.0
23,TOWNHOUSE,0.03,27545,391827,3.0,,,2066579761,4.0,2311.0
24,SINGLE_FAMILY,0.31,27571,530000,4.0,,,2066689029,4.0,2474.0
25,SINGLE_FAMILY,0.39,27539,676115,5.0,,,2067371439,4.0,2974.0
26,TOWNHOUSE,0.044000000000000004,27610,310500,3.0,,,2067948059,3.0,1573.0
27,TOWNHOUSE,0.06999999999999999,27539,435000,3.0,-78.80717,35.670372,215484821,3.0,1902.0
28,SINGLE_FAMILY,0.11000000000000001,27502,575000,3.0,-78.92262,35.703983,248749225,3.0,2244.0
29,SINGLE_FAMILY,0.15,27587,590000,3.0,-78.48154,35.98895,248755438,4.0,2853.0
