,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,SB_ID
16,SINGLE_FAMILY,0.32,27502,885000,5,-78.85763,35.744976,65330818,3,4745,254
17,SINGLE_FAMILY,0.23,27616,530000,4,-78.514275,35.877674,65333739,3,2714,255
18,SINGLE_FAMILY,0.37,27587,555555,4,-78.517265,35.97368,65334388,3,2456,256
19,TOWNHOUSE,0.05,27502,365000,3,-78.8753,35.727566,65339237,3,1476,257
20,TOWNHOUSE,0.02,27613,320000,3,-78.735435,35.885033,65339727,3,1412,258
21,SINGLE_FAMILY,0.279981635,27613,900000,,-78.73173,35.899887,6546411,2.5,2678,270
22,SINGLE_FAMILY,0.17,27545,321000,3,-78.47148,35.76552,6557526,2,1240,271
23,TOWNHOUSE,0.03,27545,295500,3,-78.51511,35.77635,67554664,3,1413,272
24,SINGLE_FAMILY,0.2,27502,600000,3,-78.86865,35.726326,67556863,3,2106,273
25,SINGLE_FAMILY,0.72,27526,470000,3,-78.75087,35.56442,67558681,3,2409,274
26,TOWNHOUSE,0.05,27613,425300,3,-78.73442,35.888424,67558847,3,1754,275
27,SINGLE_FAMILY,0.89,27603,900000,4,-78.70759,35.66597,68317586,4,4025,276
28,SINGLE_FAMILY,0.9,27603,675000,3,-78.67908,35.617996,69564748,3,3196,277
29,TOWNHOUSE,0.05,27616,315000,3,-78.55099,35.89921,69566683,3,1510,278
30,SINGLE_FAMILY,0.18,27610,361000,3,-78.58612,35.738937,71205682,3,1627,279
31,SINGLE_FAMILY,0.42,27571,655000,5,-78.45542,35.92825,80198178,4,3615,280
32,SINGLE_FAMILY,0.16,27614,475000,4,-78.556145,35.966125,81436757,3,2538,281
33,SINGLE_FAMILY,0.19,27587,485000,4,-78.47414,35.963066,82672052,3,2659,282
34,TOWNHOUSE,0.03,27603,325000,2,-78.659645,35.732666,82675612,3,1295,283
35,SINGLE_FAMILY,0.16,27526,383000,3,-78.76697,35.612476,89495175,3,1589,284
36,SINGLE_FAMILY,0.279981635,27545,504500,4,-78.462326,35.745316,98376957,3,3082,285
37,SINGLE_FAMILY,0.73,27529,435500,3,-78.58959,35.611523,111377267,2,2194,286
38,SINGLE_FAMILY,0.82,27612,2350000,5,-78.697914,35.837128,119340745,6,5391,287
39,SINGLE_FAMILY,0.21,27526,650000,5,-78.81901,35.595177,122279447,4,3377,288
0,LOT,0.6,27592,493500,,-78.70403,35.55616,336868134,,,289
1,SINGLE_FAMILY,0.13,27591,473801,2,-78.42296,35.75889,336869151,2,1888,290
2,LOT,0.289990817,27523,853500,,-78.93208,35.781693,336869460,,,291
3,SINGLE_FAMILY,1.17,27587,640000,4,-78.52806,35.993706,50102541,4,3007,292
4,SINGLE_FAMILY,0.34,27604,1082500,3,-78.54321,35.80759,50103150,3,1375,293
5,SINGLE_FAMILY,0.13,27604,380000,3,-78.54264,35.807205,50103151,3,1641,294
6,SINGLE_FAMILY,0.1,27604,310500,2,-78.57105,35.803055,50106732,2,912,295
7,SINGLE_FAMILY,0.18,27502,415000,3,-78.90995,35.72179,50110256,2,1825,296
8,SINGLE_FAMILY,0.2,27614,539900,3,-78.588905,35.91295,50111644,3,2274,305
9,SINGLE_FAMILY,0.409986226,27519,654000,4,-78.866684,35.794407,50112514,3,3300,306
10,SINGLE_FAMILY,0.109986226,27604,254500,,-78.543526,35.81246,50115261,2.5,1224,1
11,SINGLE_FAMILY,0.9,27592,614000,4,-78.6591,35.581657,50115861,4,4174,2
12,TOWNHOUSE,0.04,27613,365000,3,-78.73467,35.900005,50116161,3,1600,3
13,SINGLE_FAMILY,0.3,27614,675000,4,-78.56358,35.945236,50118842,3,2716,31
14,SINGLE_FAMILY,0.92,27614,635000,4,-78.68302,35.977757,50122261,3,2807,32
15,SINGLE_FAMILY,0.69,27616,493800,3,-78.49397,35.834538,53459031,3,2644,33
16,TOWNHOUSE,0.04,27615,300000,2,-78.570854,35.89487,53459688,3,1389,34
17,SINGLE_FAMILY,0.61,27526,470000,4,-78.77072,35.6089,53462377,4,2817,35
18,SINGLE_FAMILY,0.36,27540,880000,4,-78.818436,35.66106,60393315,3,3267,36
19,TOWNHOUSE,0.02,27502,332500,3,-78.87337,35.74304,60394059,3,1460,37
20,TOWNHOUSE,0.081,27587,354000,3,-78.525024,35.99934,60399389,3,2111,38
21,SINGLE_FAMILY,0.82,27539,640000,4,-78.808846,35.691563,60533538,3,2617,39
22,SINGLE_FAMILY,0.39,27616,350500,4,-78.56616,35.839344,60536955,3,1728,40
23,SINGLE_FAMILY,0.65,27609,686500,4,-78.61833,35.856373,6382982,3,2503,41
24,SINGLE_FAMILY,1,27587,339000,3,-78.69801,36.05655,6408058,3,1694,42
25,SINGLE_FAMILY,0.28,27609,495000,3,-78.61649,35.86317,6416636,2,2258,43
26,SINGLE_FAMILY,0.21,27610,300000,2,-78.60835,35.78965,6417877,1,1037,44
27,SINGLE_FAMILY,0.46,27609,925000,4,-78.62263,35.856987,6419381,4,3052,45
28,SINGLE_FAMILY,0.229981635,27610,290000,4,-78.61071,35.774117,6426816,2.5,1407,46
29,SINGLE_FAMILY,0.2,27607,525000,3,-78.66886,35.798695,6427840,2,1072,47
30,LOT,3.87,27607,1600000,,-78.744675,35.804764,6427874,,,162
31,LOT,0.75,27609,1654320,,-78.649925,35.829597,6435250,,,163
32,SINGLE_FAMILY,0.16,27502,803225,4,-78.845474,35.727493,6436708,4,3162,164
33,SINGLE_FAMILY,0.29,27511,504500,3,-78.76786,35.786552,6442221,2,1463,165
34,SINGLE_FAMILY,0.919995409,27529,490000,4,-78.61777,35.6698,6443955,3,2378,212
35,SINGLE_FAMILY,1.669995409,27603,1200000,,-78.697525,35.68828,6455866,,2910,213
36,SINGLE_FAMILY,0.959986226,27615,615000,4,-78.64802,35.921265,6458486,5,2920,214
37,TOWNHOUSE,0.03,27609,265250,2,-78.60208,35.859764,6465804,2,1095,231
38,TOWNHOUSE,0.07,27608,550000,2,-78.65777,35.81068,6470279,2,1426,232
39,MANUFACTURED,0.7,27603,28000,,-78.63684,35.58144,6475012,3,1904,252
0,SINGLE_FAMILY,0.34,27526,535000,4,-78.74789,35.62196,67556713,3,2600,253
1,SINGLE_FAMILY,0.23,27539,435000,4,-78.81078,35.67658,68319575,3,2283,254
2,TOWNHOUSE,0.05,27612,390000,3,-78.720795,35.858543,69566969,3,1735,255
3,SINGLE_FAMILY,0.38,27519,1350000,5,-78.90693,35.80818,71206490,4,3892,256
4,TOWNHOUSE,0.03,27616,320000,3,-78.52207,35.852657,71845160,3,1553,257
5,SINGLE_FAMILY,0.92,27613,1275000,4,-78.69982,35.925026,80208142,6,4978,258
6,SINGLE_FAMILY,0.208999082,27526,382500,3,-78.80536,35.57163,81436653,2.5,1826,270
7,TOWNHOUSE,0.04,27610,295000,3,-78.54441,35.7962,81437190,3,1280,271
8,TOWNHOUSE,0.06,27519,438000,2,-78.910965,35.823902,81761220,3,1921,272
9,TOWNHOUSE,0.04,27604,300000,3,-78.5884,35.82911,88948341,3,1482,273
10,TOWNHOUSE,0.03,27616,300000,3,-78.53724,35.894028,102328967,3,1559,274
11,SINGLE_FAMILY,0.4,27540,585000,4,-78.86987,35.638096,122065625,3,2691,275
12,SINGLE_FAMILY,0.2,27502,792500,4,-78.91313,35.718555,122281720,3,2777,276
13,SINGLE_FAMILY,0.22,27519,960000,4,-78.88541,35.821575,122283397,4,3552,277
14,SINGLE_FAMILY,0.22,27545,580000,4,-78.46686,35.797592,125090228,3,2968,278
15,SINGLE_FAMILY,0.69,27539,870000,4,-78.717636,35.675415,125247256,4,4267,279
16,SINGLE_FAMILY,,27604,145000,,-78.59084,35.847546,132267961,1,756,280
17,SINGLE_FAMILY,0.7,27597,507000,,-78.332825,35.795124,133226322,3.5,3502,281
18,SINGLE_FAMILY,0.039990817,27571,300000,,-78.46822,35.919926,133704289,2,1661,282
19,SINGLE_FAMILY,0.14,27616,520500,4,-78.511536,35.837463,133704370,3,2615,283
20,TOWNHOUSE,0.1,27519,485000,4,,,2063167037,4,1856,284
