,Store Name,Street Address,City,Postcode,Longitude,Latitude
174,Battlegrnd Ave & Horse Pen Crk Rd,4016 Battleground Ave,Greensboro,27410,-79.87,36.15
175,Target Greensboro South T-1078,"1212 Bridford Pkwy, Jefferson Village",Greensboro,27407,-79.9,36.05
176,Jefferson Village,"1562 Highwoods Blvd, Suite C",Greensboro,27410,-79.88,36.11
177,Target Greensboro West T-2108,"1628 Highwoods Blvd, Elmsley Square Shopping Center",Greensboro,27410,-79.88,36.11
178,South Elm & I-85,"3711 Elmsley Street, Suite 108, Friendly Center",Greensboro,27406,-79.79,36.0
179,Teavana - Friendly Center,"3326 W. Friendly Ave., #137, Colonial Shoppes at Quaker Shopping Cntr",Greensboro,27410,-79.84,36.09
180,Guilford College,5607 W Friendly Ave,Greensboro,27410,-79.89,36.09
181,Harris Teeter Greensboro # 64,5710 W Gate City Blvd,Greensboro,27407,-79.9,36.02
182,Harris Teeter-Greensboro #91,401 Pisguah Church Rd,Greensboro,27455,-79.8,36.13
183,GSO - North Concourse,1000 Ted Johnson Pkwy,Greensboro,27409,-79.93,36.12
184,Harris Teeter Greensboro #33,"701 Frances King St, Four Seasons Town Centre Mall",Greensboro,27410,-79.89,36.09
185,Four Seasons Towne Centre,"400 Four Seasons Town Centre, Space #1K5-A, Patriots Place Shopping Center",Greensboro,27407,-79.84,36.04
186,Patriots Place,505 Pisgah Church Road,Greensboro,27455,-79.8,36.13
187,GSO - South Concourse,1000 Ted Johnson Pkwy,Greensboro,27409,-79.93,36.12
188,Shops on Battleground,1603 Battleground Avenue,Greensboro,27408,-79.81,36.09
189,Harris Teeter - Greensboro #347,2639 Lawndale Dr,Greensboro,27408,-79.82,36.1
190,North Carolina A & T State Univ,1601 E Market St,Greensboro,27411,-79.77,36.07
191,East Carolina University Joyner Lib,"E 5th Str, Stanton Square Shopping Center",Greenville,27858,-77.37,35.61
192,Stanton Square,"2205 W. Arlington Blvd., Suite A",Greenville,27834,-77.41,35.61
193,East Carolina University,100 East 10th Street,Greenville,27858,-77.37,35.61
194,Harris Teeter-Greenville NC #362,3040 EVANS ST,Greenville,27834,-77.38,35.58
195,ECU Mobile Truck,"1001 East 5th Street, Jones Hall on College Hill Dr.",Greenville,27858,-77.36,35.61
196,Firetower Road and S. Memorial,"4100 Humber Dr, Unit 100",Greenville,28590,-77.41,35.55
197,East Carolina University - Wright P,"100 Founders Dr, La Promenade",Greenville,27858,-77.36,35.61
198,Greenville,518-B Greenville Blvd. SE,Greenville,27858,-77.37,35.58
199,Harris Teeter-Greenville #287,"2120 E Firetower Rd, Suite 101",Greenville,27858,-77.35,35.57
200,Harris Teeter Harrisburg # 92,12190 University City Blvd,Harrisburg,28075,-80.67,35.32
201,Ingles Hayesville # 116,230 Highway 64 E,Hayesville,28904,-83.8,35.03
202,Ingles-Hendersonville #11,1980 Asheville Hwy,Hendersonville,28792,-82.47,35.33
203,Ingles-Hendersonville #179,3643 Howard Gap Rd,Hendersonville,28792,-82.43,35.35
204,Four Seasons Boulevard & I-26,103 Mitchelle Drive,Hendersonville,28792,-82.44,35.34
205,Hickory North,"1342 2nd St., NE",Hickory,28601,-81.34,35.75
206,Lenoir Rhyne Blvd & I-40,1186 Lenoir Rhyne Blvd,Hickory,28602,-81.31,35.72
207,Target Hickory T-1181,"1910 Catawba Valley Blvd SE, Family Video",Hickory,28602,-81.31,35.7
208,"High Point, NC","2101 N. Main Street, Suite 103",High Point,27262,-80.02,35.98
209,High Point University-Cottrell Hall,5th Street,High Point,27262,-80.0,35.98
210,Shoppes at Deep River,3875 John Gordon Lane,High Point,27265,-79.96,36.04
211,Harris Teeter - High Point #341,265 Eastchester Dr,High Point,27262,-80.02,35.98
212,Harris Teeter-Holly Springs #118,5277 Sunset Lake Rd,Holly Springs,27540,-78.8,35.66
213,Hwy 55 & New Hill Road,185 Grand Hill Place,Holly Springs,27540,-78.85,35.66
214,Target Holly Springs T-2785,100 Grand Hill Place,Holly Springs,27540,-78.82,35.63
215,Teeter-Huntersville #272,"7715 Regency Lake Dr, Rosedale Commons",Huntersville,28078,-80.9,35.44
216,Rosedale,"9832 Gilead Road, Space D101, Birkdale Village",Huntersville,28078,-80.86,35.41
217,Birkdale,16846B Birkdale Commons Pkwy,Huntersville,28078,-80.88,35.45
218,Target Huntersville T-966,9801 Sam Furr Rd,Huntersville,28078,-80.86,35.44
219,Sam Furr Rd & Hwy 115,"9932 Knockando Lane, Sun Valley Shopping Center",Huntersville,28078,-80.86,35.44
220,Sun Valley,"6701 Old Monroe Rd, Suite A",Indian Trail,28079,-80.65,35.05
221,Target Jacksonville T-1226,1395D Western Blvd,Jacksonville,28546,-77.4,34.79
