"rowcount","propertytype","lotareavalue","address","price","bedrooms","longitude","latitude","zpid","bathrooms","livingarea"
20,"LOT",0.1599862258953168,27610,436500,NULL,-78.54324,35.702404,336867283,NULL,NULL
21,"SINGLE_FAMILY",0.259,27526,462557,5,-78.824036,35.571915,336868441,3,2396
26,"SINGLE_FAMILY",0.47,27529,360000,3,-78.60725,35.620716,50119555,2,1659
26,"SINGLE_FAMILY",0.47,27529,360000,3,-78.60725,35.620716,50119555,2,1659
26,"SINGLE_FAMILY",0.47,27529,360000,3,-78.60725,35.620716,50119555,2,1659
27,"SINGLE_FAMILY",0.5,27587,755000,4,-78.540695,36.00368,50119796,4,3586
27,"SINGLE_FAMILY",0.5,27587,755000,4,-78.540695,36.00368,50119796,4,3586
28,"SINGLE_FAMILY",0.28,27502,540000,4,-78.898445,35.72082,50119998,3,1889
28,"SINGLE_FAMILY",0.28,27502,540000,4,-78.898445,35.72082,50119998,3,1889
29,"TOWNHOUSE",0.05,27613,377500,3,-78.73523,35.90036,50120511,3,1824
30,"SINGLE_FAMILY",0.5,27519,1040000,4,-78.88032,35.796604,50121801,4,3674
30,"SINGLE_FAMILY",0.5,27519,1040000,4,-78.88032,35.796604,50121801,4,3674
30,"SINGLE_FAMILY",0.5,27519,1040000,4,-78.88032,35.796604,50121801,4,3674
30,"SINGLE_FAMILY",0.5,27519,1040000,4,-78.88032,35.796604,50121801,4,3674
30,"SINGLE_FAMILY",0.5,27519,1040000,4,-78.88032,35.796604,50121801,4,3674
30,"SINGLE_FAMILY",0.5,27519,1040000,4,-78.88032,35.796604,50121801,4,3674
31,"TOWNHOUSE",0.04,27615,315500,2,-78.59154,35.889416,53456696,2,1197
31,"TOWNHOUSE",0.04,27615,315500,2,-78.59154,35.889416,53456696,2,1197
32,"SINGLE_FAMILY",0.3,27540,355000,3,-78.821304,35.6325,60393302,2,1265
32,"SINGLE_FAMILY",0.3,27540,355000,3,-78.821304,35.6325,60393302,2,1265
32,"SINGLE_FAMILY",0.3,27540,355000,3,-78.821304,35.6325,60393302,2,1265
33,"SINGLE_FAMILY",0.2,27616,380000,3,-78.511055,35.88066,60398593,3,1416
33,"SINGLE_FAMILY",0.2,27616,380000,3,-78.511055,35.88066,60398593,3,1416
33,"SINGLE_FAMILY",0.2,27616,380000,3,-78.511055,35.88066,60398593,3,1416
33,"SINGLE_FAMILY",0.2,27616,380000,3,-78.511055,35.88066,60398593,3,1416
34,"SINGLE_FAMILY",0.43,27540,800000,4,-78.816734,35.661472,60531261,4,3472
34,"SINGLE_FAMILY",0.43,27540,800000,4,-78.816734,35.661472,60531261,4,3472
34,"SINGLE_FAMILY",0.43,27540,800000,4,-78.816734,35.661472,60531261,4,3472
35,"SINGLE_FAMILY",0.19,27610,337000,4,-78.563095,35.72948,60536740,3,1542
36,"TOWNHOUSE",0.02,27610,220500,3,-78.5613,35.750515,60537531,3,1189
37,"SINGLE_FAMILY",1.1,27526,280000,2,-78.80665,35.56236,6376519,2,1264
39,"LOT",11.5,27545,600000,NULL,-78.47939,35.81749,6401776,NULL,NULL
39,"LOT",11.5,27545,600000,NULL,-78.47939,35.81749,6401776,NULL,NULL
0,"SINGLE_FAMILY",0.28,27529,349000,3,-78.60123,35.68022,6475560,3,1578
0,"SINGLE_FAMILY",0.28,27529,349000,3,-78.60123,35.68022,6475560,3,1578
0,"SINGLE_FAMILY",0.28,27529,349000,3,-78.60123,35.68022,6475560,3,1578
3,"SINGLE_FAMILY",0.11999540863177227,27610,180000,3,-78.58727,35.76983,6503026,2.5,1480
4,"SINGLE_FAMILY",0.13,27616,250000,3,-78.55844,35.886684,6504060,2,1160
4,"SINGLE_FAMILY",0.13,27616,250000,3,-78.55844,35.886684,6504060,2,1160
4,"SINGLE_FAMILY",0.13,27616,250000,3,-78.55844,35.886684,6504060,2,1160
4,"SINGLE_FAMILY",0.13,27616,250000,3,-78.55844,35.886684,6504060,2,1160
5,"TOWNHOUSE",0.06,27587,300750,3,-78.52498,35.990883,6505497,3,1340
5,"TOWNHOUSE",0.06,27587,300750,3,-78.52498,35.990883,6505497,3,1340
6,"SINGLE_FAMILY",0.16999540863177226,27616,290000,NULL,-78.566315,35.852386,6509663,2,1764
6,"SINGLE_FAMILY",0.16999540863177226,27616,290000,NULL,-78.566315,35.852386,6509663,2,1764
6,"SINGLE_FAMILY",0.16999540863177226,27616,290000,NULL,-78.566315,35.852386,6509663,2,1764
6,"SINGLE_FAMILY",0.16999540863177226,27616,290000,NULL,-78.566315,35.852386,6509663,2,1764
7,"SINGLE_FAMILY",0.56,27587,686000,3,-78.551704,35.970146,6510268,3,2702
7,"SINGLE_FAMILY",0.56,27587,686000,3,-78.551704,35.970146,6510268,3,2702
8,"SINGLE_FAMILY",0.19,27513,485000,3,-78.78972,35.816204,6513803,3,1629
8,"SINGLE_FAMILY",0.19,27513,485000,3,-78.78972,35.816204,6513803,3,1629
8,"SINGLE_FAMILY",0.19,27513,485000,3,-78.78972,35.816204,6513803,3,1629
9,"SINGLE_FAMILY",0.17998163452708907,27613,490000,3,-78.75085,35.925007,6515009,2.5,2007
10,"SINGLE_FAMILY",0.97,27540,750000,3,-78.8065,35.642895,6519731,4,3658
10,"SINGLE_FAMILY",0.97,27540,750000,3,-78.8065,35.642895,6519731,4,3658
10,"SINGLE_FAMILY",0.97,27540,750000,3,-78.8065,35.642895,6519731,4,3658
11,"SINGLE_FAMILY",0.28,27518,800000,4,-78.77807,35.714195,6524508,3,3407
11,"SINGLE_FAMILY",0.28,27518,800000,4,-78.77807,35.714195,6524508,3,3407
11,"SINGLE_FAMILY",0.28,27518,800000,4,-78.77807,35.714195,6524508,3,3407
11,"SINGLE_FAMILY",0.28,27518,800000,4,-78.77807,35.714195,6524508,3,3407
12,"SINGLE_FAMILY",0.24,27518,565000,3,-78.78939,35.70926,6524764,3,2278
12,"SINGLE_FAMILY",0.24,27518,565000,3,-78.78939,35.70926,6524764,3,2278
12,"SINGLE_FAMILY",0.24,27518,565000,3,-78.78939,35.70926,6524764,3,2278
12,"SINGLE_FAMILY",0.24,27518,565000,3,-78.78939,35.70926,6524764,3,2278
13,"SINGLE_FAMILY",0.16,27545,331000,3,-78.46354,35.76561,6525475,2,1229
13,"SINGLE_FAMILY",0.16,27545,331000,3,-78.46354,35.76561,6525475,2,1229
14,"SINGLE_FAMILY",0.3,27513,915000,4,-78.84515,35.803642,6532172,4,3406
14,"SINGLE_FAMILY",0.3,27513,915000,4,-78.84515,35.803642,6532172,4,3406
14,"SINGLE_FAMILY",0.3,27513,915000,4,-78.84515,35.803642,6532172,4,3406
15,"SINGLE_FAMILY",0.28,27616,370000,3,-78.5178,35.884212,6532931,3,1608
15,"SINGLE_FAMILY",0.28,27616,370000,3,-78.5178,35.884212,6532931,3,1608
15,"SINGLE_FAMILY",0.28,27616,370000,3,-78.5178,35.884212,6532931,3,1608
15,"SINGLE_FAMILY",0.28,27616,370000,3,-78.5178,35.884212,6532931,3,1608
16,"SINGLE_FAMILY",0.32,27502,885000,5,-78.85763,35.744976,65330818,3,4745
16,"SINGLE_FAMILY",0.32,27502,885000,5,-78.85763,35.744976,65330818,3,4745
17,"SINGLE_FAMILY",0.22999999999999998,27616,530000,4,-78.514275,35.877674,65333739,3,2714
17,"SINGLE_FAMILY",0.22999999999999998,27616,530000,4,-78.514275,35.877674,65333739,3,2714
17,"SINGLE_FAMILY",0.22999999999999998,27616,530000,4,-78.514275,35.877674,65333739,3,2714
17,"SINGLE_FAMILY",0.22999999999999998,27616,530000,4,-78.514275,35.877674,65333739,3,2714
18,"SINGLE_FAMILY",0.37,27587,555555,4,-78.517265,35.97368,65334388,3,2456
18,"SINGLE_FAMILY",0.37,27587,555555,4,-78.517265,35.97368,65334388,3,2456
19,"TOWNHOUSE",0.05,27502,365000,3,-78.8753,35.727566,65339237,3,1476
19,"TOWNHOUSE",0.05,27502,365000,3,-78.8753,35.727566,65339237,3,1476
20,"TOWNHOUSE",0.02,27613,320000,3,-78.735435,35.885033,65339727,3,1412
21,"SINGLE_FAMILY",0.27998163452709,27613,900000,NULL,-78.73173,35.899887,6546411,2.5,2678
22,"SINGLE_FAMILY",0.16999999999999998,27545,321000,3,-78.47148,35.76552,6557526,2,1240
22,"SINGLE_FAMILY",0.16999999999999998,27545,321000,3,-78.47148,35.76552,6557526,2,1240
23,"TOWNHOUSE",0.03,27545,295500,3,-78.51511,35.77635,67554664,3,1413
23,"TOWNHOUSE",0.03,27545,295500,3,-78.51511,35.77635,67554664,3,1413
24,"SINGLE_FAMILY",0.2,27502,600000,3,-78.86865,35.726326,67556863,3,2106
24,"SINGLE_FAMILY",0.2,27502,600000,3,-78.86865,35.726326,67556863,3,2106
25,"SINGLE_FAMILY",0.72,27526,470000,3,-78.75087,35.56442,67558681,3,2409
26,"TOWNHOUSE",0.05,27613,425300,3,-78.73442,35.888424,67558847,3,1754
29,"TOWNHOUSE",0.05,27616,315000,3,-78.55099,35.89921,69566683,3,1510
29,"TOWNHOUSE",0.05,27616,315000,3,-78.55099,35.89921,69566683,3,1510
29,"TOWNHOUSE",0.05,27616,315000,3,-78.55099,35.89921,69566683,3,1510
29,"TOWNHOUSE",0.05,27616,315000,3,-78.55099,35.89921,69566683,3,1510
