,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,listingStatus,zpid,bathrooms,livingArea,lotAreaUnit
20,SINGLE_FAMILY,4356.0,27513,635000,3.0,-78.83991,35.797775,RECENTLY_SOLD,6506602,3.0,2181.0,sqft
21,SINGLE_FAMILY,0.3,27513,550000,3.0,-78.83127,35.77472,RECENTLY_SOLD,6510829,3.0,2248.0,acres
22,SINGLE_FAMILY,7405.2,27616,455000,4.0,-78.526245,35.880825,RECENTLY_SOLD,6520425,3.0,2083.0,sqft
23,SINGLE_FAMILY,0.7,27526,525000,3.0,-78.73934,35.630238,RECENTLY_SOLD,6531678,3.0,2014.0,acres
24,SINGLE_FAMILY,9583.2,27616,385000,4.0,-78.570564,35.85568,RECENTLY_SOLD,65332468,3.0,1800.0,sqft
25,SINGLE_FAMILY,8276.4,27519,481000,3.0,-78.86179,35.774197,RECENTLY_SOLD,6533787,3.0,1945.0,sqft
26,SINGLE_FAMILY,8276.4,27519,620000,3.0,-78.86214,35.772884,RECENTLY_SOLD,6534606,3.0,2257.0,sqft
27,SINGLE_FAMILY,0.35,27587,390000,3.0,-78.465294,35.951565,RECENTLY_SOLD,6538907,3.0,1526.0,acres
28,SINGLE_FAMILY,8276.4,27502,515900,3.0,-78.85128,35.734203,RECENTLY_SOLD,6543312,3.0,2028.0,sqft
29,SINGLE_FAMILY,9147.6,27529,325000,3.0,-78.60908,35.71884,RECENTLY_SOLD,6561177,2.0,1295.0,sqft
30,TOWNHOUSE,435.6,27612,410000,3.0,-78.739975,35.879017,RECENTLY_SOLD,6565279,3.0,2026.0,sqft
31,SINGLE_FAMILY,0.34,27587,625000,5.0,-78.52834,35.936184,RECENTLY_SOLD,67557981,4.0,4214.0,acres
32,TOWNHOUSE,2613.6,27612,441000,3.0,-78.71959,35.859844,RECENTLY_SOLD,68320477,3.0,1860.0,sqft
33,TOWNHOUSE,2178.0,27560,620000,3.0,-78.82574,35.80728,RECENTLY_SOLD,69563224,4.0,2866.0,sqft
34,TOWNHOUSE,1306.0,27614,360000,3.0,-78.55886,35.92245,PENDING,69565980,3.0,1728.0,sqft
35,SINGLE_FAMILY,7840.8,27545,405000,4.0,-78.50233,35.781654,RECENTLY_SOLD,81436565,3.0,2627.0,sqft
36,SINGLE_FAMILY,6098.4,27539,562920,4.0,-78.827,35.691307,RECENTLY_SOLD,83893794,3.0,2545.0,sqft
37,SINGLE_FAMILY,4791.0,27502,660000,3.0,-78.842575,35.74621,PENDING,89494954,3.0,2680.0,sqft
38,SINGLE_FAMILY,9147.6,27587,610000,4.0,-78.5035,35.956623,RECENTLY_SOLD,89501055,3.0,2881.0,sqft
39,SINGLE_FAMILY,9147.6,27540,540000,4.0,-78.876595,35.6346,RECENTLY_SOLD,94723418,3.0,3041.0,sqft
